CustomerId,Name1,Name2,ORT01,PSTLZ,REG10,TELF1,Bnd,Crush,Flang,Flar,Flatt,HydrDate,HydrTest,HydrUnit,IsSpec,Maktx,Matnr,NoOfTubes,Thickness,Width,CastNo,DelNo,FinLot,Matnr,RmCertDate,RmCertNo,Al,c,CastNo,Charge,ChargeVal,DelNo,ET,Elon,Elon1,FinLot,InvDate,InvNo,MetalTemp,Mn,P,s,SalItem,SalNo,Si,Tst,Yst
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211023,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000320938,0085,3.100 mm,1365.00 mm,T50352,0901058967,1A04A31,000000000000320938,20210926,0900652133,,0.053,T50352,1A04A3001,35,0901058967,,36.000,38.000,1A04A31,02.01.2022,4430190583,,0.406,0.014,0.005,000011,9515839498,0.014,368.000,292.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211222,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000232912,0031,3.500 mm,1500.00 mm,V62212,0901058916,1B17C31,000000000000232912,20211028,0900785550,,0.052,V62212,1B17C3009,11,0901058916,,36.000,38.000,1B17C31,02.01.2022,4430190584,,0.315,0.018,0.011,000001,9515839498,0.008,360.000,285.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211222,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000232912,0031,3.500 mm,1500.00 mm,V62212,0901058916,1B17C31,000000000000232912,20211028,0900785550,,0.052,V62212,1B17C3009,20,0901058916,,32.000,34.000,1B17C31,02.01.2022,4430190584,,0.315,0.018,0.011,000001,9515839498,0.008,377.000,300.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211202,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.000 M.Fin Cut,000000000000233597,0040,3.500 mm,1500.00 mm,V62212,0901058916,1B17B36,000000000000233597,20211028,0900785550,,0.052,V62212,1B17B3025,20,0901058916,,36.000,38.000,1B17B36,02.01.2022,4430190584,,0.315,0.018,0.011,000003,9515839498,0.008,358.000,283.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211202,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,63.50 mm OD X3.660 mm THK X5.000 M.Fin Cut,000000000000233597,0040,3.500 mm,1500.00 mm,V62212,0901058916,1B17B36,000000000000233597,20211028,0900785550,,0.052,V62212,1B17B3025,20,0901058916,,32.000,34.000,1B17B36,02.01.2022,4430190584,,0.315,0.018,0.011,000003,9515839498,0.008,361.000,288.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20210726,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X5.000 M.Fin Cut,000000000000234082,0080,3.500 mm,1250.00 mm,V50503,0901058916,1718C42,000000000000234082,20210507,0900122638,,0.098,V50503,1718C4004,40,0901058916,,35.000,33.000,1718C42,02.01.2022,4430190584,,0.504,0.018,0.006,000004,9515839498,0.011,387.000,307.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20210726,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X5.000 M.Fin Cut,000000000000234082,0080,3.500 mm,1250.00 mm,V50503,0901058916,1718C42,000000000000234082,20210507,0900122638,,0.098,V50503,1718C4004,40,0901058916,,34.000,32.000,1718C42,02.01.2022,4430190584,,0.504,0.018,0.006,000004,9515839498,0.011,389.000,309.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211114,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000234203,0127,3.100 mm,1250.00 mm,V62192,0901058916,1A31A32,000000000000234203,20211023,0900762261,,0.063,V62192,1A31A3007,50,0901058916,,36.000,34.000,1A31A32,02.01.2022,4430190584,,0.440,0.022,0.011,000005,9515839498,0.012,361.000,281.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211114,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000234203,0127,3.100 mm,1250.00 mm,V62192,0901058916,1A31A32,000000000000234203,20211023,0900762261,,0.063,V62192,1A31A3007,50,0901058916,,38.000,36.000,1A31A32,02.01.2022,4430190584,,0.440,0.022,0.011,000005,9515839498,0.012,354.000,274.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211114,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000234203,0127,3.100 mm,1250.00 mm,V62192,0901058916,1A31A32,000000000000234203,20211023,0900762261,,0.063,V62192,1A31A3007,27,0901058916,,32.000,30.000,1A31A32,02.01.2022,4430190584,,0.440,0.022,0.011,000005,9515839498,0.012,371.000,291.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211201,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,57.15 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000235697,0054,3.500 mm,1250.00 mm,V62464,0901058916,1B24C33,000000000000235697,20211031,0900799782,,0.120,V62464,1B24C3010,30,0901058916,,34.000,36.000,1B24C33,02.01.2022,4430190584,,0.639,0.011,0.008,000008,9515839498,0.193,391.000,308.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211201,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,57.15 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000235697,0054,3.500 mm,1250.00 mm,V62464,0901058916,1B24C33,000000000000235697,20211031,0900799782,,0.120,V62464,1B24C3010,24,0901058916,,40.000,42.000,1B24C33,02.01.2022,4430190584,,0.639,0.011,0.008,000008,9515839498,0.193,363.000,282.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211022,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000235818,0090,3.500 mm,1250.00 mm,V60247,0901058916,1A02C32,000000000000235818,20210922,0900636471,,0.059,V60247,1A02C3005,45,0901058916,,38.000,36.000,1A02C32,02.01.2022,4430190584,,0.419,0.019,0.005,000010,9515839498,0.009,365.000,292.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211022,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X6.100 M.Fin Cut,000000000000235818,0090,3.500 mm,1250.00 mm,V60247,0901058916,1A02C32,000000000000235818,20210922,0900636471,,0.059,V60247,1A02C3005,45,0901058916,,32.000,30.000,1A02C32,02.01.2022,4430190584,,0.419,0.019,0.005,000010,9515839498,0.009,370.000,297.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211130,110,kg/cm2,BS 3059:1978 PT 1 ERW 320,63.50 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000324423,0054,3.100 mm,1250.00 mm,V60453,0901058916,1B07B33,000000000000324423,20211004,0900687944,,0.056,V60453,1B07B3006,27,0901058916,,44.000,46.000,1B07B33,02.01.2022,4430190584,,0.445,0.015,0.007,000013,9515839498,0.009,348.000,268.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211130,110,kg/cm2,BS 3059:1978 PT 1 ERW 320,63.50 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000324423,0054,3.100 mm,1250.00 mm,V60453,0901058916,1B07B33,000000000000324423,20211004,0900687944,,0.056,V60453,1B07B3006,27,0901058916,,42.000,44.000,1B07B33,02.01.2022,4430190584,,0.445,0.015,0.007,000013,9515839498,0.009,352.000,267.000
