companyCode,companyName,sapDocNo,reference,sapDocType,businessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,invSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalIndicator,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata Steel Limited,45020062,R190804500402,KZ,9600,2020,1,17-04-2019,17-04-2019,"17,967.86","17,967.86",INR,"17,967.86",INR,0.00,0.00,"17,967.86",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190417-CAPSH,45020062,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45020062,17-04-2019,17-04-2019,3:10:41 PM,0.00,"17,967.86",,,1
1000,Tata Steel Limited,45024071,R042375024786,KZ,7000,2020,1,22-04-2019,22-04-2019,"2,139,050.00","2,139,050.00",INR,"2,139,050.00",INR,0.00,0.00,"2,139,050.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190422-WIRE1,45024071,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45024071,22-04-2019,22-04-2019,3:51:52 PM,0.00,"2,139,050.00",,,1
1000,Tata Steel Limited,45025854,R042575361353,KZ,9500,2020,1,24-04-2019,24-04-2019,"4,466,620.63","4,466,620.63",INR,"4,466,620.63",INR,0.00,0.00,"4,466,620.63",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190424-SERV2,45025854,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45025854,24-04-2019,24-04-2019,12:27:03 PM,0.00,"4,466,620.63",,,1
1000,Tata Steel Limited,45028294,R042975740421,KZ,9650,2020,1,26-04-2019,26-04-2019,"214,335.34","214,335.34",INR,"214,335.34",INR,0.00,0.00,"214,335.34",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190426-CAPSH,45028294,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45028294,26-04-2019,26-04-2019,3:23:12 PM,0.00,"214,335.34",,,1
1000,Tata Steel Limited,45036233,R050877225045,KZ,9600,2020,2,7/5/2019,7/5/2019,"321,598.09","321,598.09",INR,"321,598.09",INR,0.00,0.00,"321,598.09",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190507-SERV2,45036233,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45036233,7/5/2019,7/5/2019,10:23:15 AM,0.00,"321,598.09",,,3
1000,Tata Steel Limited,45036233,R050877225045,KZ,9600,2020,2,7/5/2019,7/5/2019,"493,957.76","493,957.76",INR,"493,957.76",INR,0.00,0.00,"493,957.76",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190507-SERV2,45036233,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45036233,7/5/2019,7/5/2019,10:23:15 AM,0.00,"493,957.76",,,1
1000,Tata Steel Limited,45036233,R050877225045,KZ,9600,2020,2,7/5/2019,7/5/2019,"752,816.43","752,816.43",INR,"752,816.43",INR,0.00,0.00,"752,816.43",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190507-SERV2,45036233,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45036233,7/5/2019,7/5/2019,10:23:15 AM,0.00,"752,816.43",,,2
1000,Tata Steel Limited,45039858,R190824396039,KZ,9600,2020,2,10/5/2019,10/5/2019,"22,125.41","22,125.41",INR,"22,125.41",INR,0.00,0.00,"22,125.41",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190510-CAPSH,45039858,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45039858,10/5/2019,10/5/2019,3:38:18 PM,0.00,"22,125.41",,,1
1000,Tata Steel Limited,45041132,R051478019223,KZ,9600,2020,2,13-05-2019,13-05-2019,"165,299.87","165,299.87",INR,"165,299.87",INR,0.00,0.00,"165,299.87",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190513-SERV2,45041132,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45041132,13-05-2019,13-05-2019,2:13:01 PM,0.00,"165,299.87",,,1
1000,Tata Steel Limited,45041132,R051478019223,KZ,9600,2020,2,13-05-2019,13-05-2019,"214,989.02","214,989.02",INR,"214,989.02",INR,0.00,0.00,"214,989.02",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190513-SERV2,45041132,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45041132,13-05-2019,13-05-2019,2:13:01 PM,0.00,"214,989.02",,,2
1000,Tata Steel Limited,45046600,R052179133506,KZ,9600,2020,2,20-05-2019,20-05-2019,"6,618,223.05","6,618,223.05",INR,"6,618,223.05",INR,0.00,0.00,"6,618,223.05",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190520-CAPSH,45046600,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45046600,20-05-2019,20-05-2019,3:13:51 PM,0.00,"6,618,223.05",,,2
1000,Tata Steel Limited,45046600,R052179133506,KZ,0700,2020,2,20-05-2019,20-05-2019,"1,505,680.00","1,505,680.00",INR,"1,505,680.00",INR,0.00,0.00,"1,505,680.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190520-CAPSH,45046600,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45046600,20-05-2019,20-05-2019,3:13:51 PM,0.00,"1,505,680.00",,,1
1000,Tata Steel Limited,45046601,R190830817739,KZ,9600,2020,2,20-05-2019,20-05-2019,"121,118.98","121,118.98",INR,"121,118.98",INR,0.00,0.00,"121,118.98",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190520-CAPSH,45046601,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45046601,20-05-2019,20-05-2019,3:13:51 PM,0.00,"121,118.98",,,1
1000,Tata Steel Limited,45047801,R052279257279,KZ,9500,2020,2,21-05-2019,21-05-2019,"236,918.20","236,918.20",INR,"236,918.20",INR,0.00,0.00,"236,918.20",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190521-SERV2,45047801,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45047801,21-05-2019,21-05-2019,12:16:38 PM,0.00,"236,918.20",,,1
1000,Tata Steel Limited,45049791,R052479598989,KZ,9600,2020,2,23-05-2019,23-05-2019,"4,109,350.00","4,109,350.00",INR,"4,109,350.00",INR,0.00,0.00,"4,109,350.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190523-CAPSH,45049791,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45049791,23-05-2019,23-05-2019,3:29:40 PM,0.00,"4,109,350.00",,,1
