companyCode,companyName,sapDocNo,reference,sapDocType,bussinessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,InvSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalInd,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata BlueScope Steel Ltd,100141449,,AB,1109,2019,7,10/28/2019,10/28/2019,955748.36,955748.36,INR,955748.36,INR,0,0,955748.36,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1904103968,,60959,,3700796847/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,10/28/2019,8:54:48 AM,0,0,,,13
1000,Tata BlueScope Steel Ltd,100173564,,AB,1108,2019,8,11/30/2019,11/30/2019,234877.62,234877.62,INR,234877.62,INR,0,0,234877.62,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1901101931,,61993,,2300051923/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:34:50 PM,0,0,,,9
1000,Tata BlueScope Steel Ltd,1600000288,TDS JAN TO MARCH,DA,1101,2019,8,11/26/2019,11/26/2019,-7155,-7155,INR,-7155,INR,-7155,0,-7155,0,0,312193,Tata Steel Limited ( Kalinganagar),,RCHT00110F TDS Ded @2% 357750 Jan To March-19,TDS JAN TO MARCH-2019,1600000288,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,100173563,11/30/2019,11/26/2019,6:50:24 AM,0,0,,,40
1000,Tata BlueScope Steel Ltd,100210305,,AB,1106,2019,9,12/31/2019,12/31/2019,1943718.37,1943718.37,INR,1943718.37,INR,0,0,1943718.37,0,0,318999,Tata Steel Limited,,,,100210305,,,,310300,Customer - Advance against Sale,110000,Customer - Domestic,,110000,Customer - Domestic,0,9,S,A,,100210305,12/31/2019,1/1/2020,9:54:39 AM,0,0,,,3
1000,Tata BlueScope Steel Ltd,1600000300,TDS APRIL TO SEP,DA,1101,2019,8,11/28/2019,11/28/2019,-25683,-25683,INR,-25683,INR,-25683,0,-25683,0,0,318999,Tata Steel Limited,,MUMT08756G TDS Ded @2% 1284119.45 April To Sept-19,TDS APRIL TO SEPTEMBER,1600000300,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,100173605,11/30/2019,11/28/2019,5:33:18 AM,0,0,,,10
1000,Tata BlueScope Steel Ltd,100194025,,AB,1112,2019,9,12/25/2019,12/25/2019,697946.4,697946.4,INR,697946.4,INR,0,0,697946.4,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1902102999,,62198,,2300052816/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/25/2019,8:54:39 AM,0,0,,,28
1000,Tata BlueScope Steel Ltd,100143931,,AB,1109,2019,7,10/31/2019,10/31/2019,-9720705.89,-9720705.89,INR,-9720705.89,INR,0,0,-9720705.89,0,0,311155,Tata steel (Engineering Services),,,,100143931,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100143931,10/31/2019,11/1/2019,4:59:16 AM,0,0,,,5
1000,Tata BlueScope Steel Ltd,100199799,,AB,1112,2019,9,12/31/2019,12/31/2019,-2788633.91,-2788633.91,INR,-2788633.91,INR,0,0,-2788633.91,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,100199799,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100199799,12/31/2019,12/31/2019,6:42:26 AM,0,0,,,33
1000,Tata BlueScope Steel Ltd,100144356,,AB,1101,2019,7,10/31/2019,10/31/2019,-7229557.63,-7229557.63,INR,-7229557.63,INR,0,0,-7229557.63,0,0,318999,Tata Steel Limited,,,,100144356,,,,111105,Customer - Retention,111105,Customer - Retention,,111105,Customer - Retention,0,19,H,Y,,100144356,10/31/2019,11/1/2019,10:44:14 AM,0,0,,,2
1000,Tata BlueScope Steel Ltd,100173530,,AB,1108,2019,8,11/30/2019,11/30/2019,1170,1170,INR,1170,INR,0,0,1170,0,0,312193,Tata Steel Limited ( Kalinganagar),,TDS SI1901100036,,2346,,4700070596/172,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/1/2019,3:05:57 PM,0,0,,,1
