Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line,
1000,Tata BlueScope Steel Ltd,101575,CI1901100397,RV,1101,135,2019,2,14/05/2019,14/05/2019,"15,82,164.28 ",INR,1582164.28,INR,0,"2,41,347.10 ",1340817.18,0,0,318999,Tata Steel Limited,,,,101575,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,14/05/2019,0.460416666666667,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101574,CI1901100396,RV,1101,136,2019,2,14/05/2019,14/05/2019,"14,62,606.45 ",INR,1462606.45,INR,0,"2,23,109.48 ",1239496.97,0,0,318999,Tata Steel Limited,,,,101574,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,14/05/2019,0.459560185185185,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101689,CI1901100431,RV,1108,137,2019,2,15/05/2019,15/05/2019,"20,98,245.14 ",INR,2098245.14,INR,0,"3,20,071.30 ",1778173.84,0,0,318999,Tata Steel Limited,,,,101689,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,15/05/2019,0.833136574074074,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101651,CI1901100419,RV,1101,138,2019,2,15/05/2019,15/05/2019,"9,79,078.39 ",INR,979078.39,INR,0,"1,49,350.94 ",829727.45,0,0,318999,Tata Steel Limited,,,,101651,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,15/05/2019,0.654155092592593,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101880,CI1901100497,RV,1101,141,2019,2,21/05/2019,21/05/2019,"12,93,865.81 ",INR,1293865.81,INR,0,"1,97,369.36 ",1096496.45,0,0,318999,Tata Steel Limited,,,,101880,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,21/05/2019,0.418368055555556,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101952,CI1904101057,RV,1109,142,2019,2,22/05/2019,22/05/2019,"29,64,560.26 ",INR,2964560.26,INR,0,"4,52,221.06 ",2512339.2,0,0,313029,Tata Steel Limited,,,,58552,,2100552074/053,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020154,26/05/2019,22/05/2019,0.672627314814815,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101953,CI1904101058,RV,1109,143,2019,2,22/05/2019,22/05/2019,"31,78,667.39 ",INR,3178667.39,INR,0,"4,84,881.47 ",2693785.92,0,0,313029,Tata Steel Limited,,,,58552,,2100552074/053,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020154,26/05/2019,22/05/2019,0.673240740740741,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101950,CI1904101056,RV,1109,147,2019,2,22/05/2019,22/05/2019,"6,72,600.00 ",INR,"6,72,600.00 ",INR,0,"1,02,600.00 ","5,70,000.00 ",0,0,313029,Tata Steel Limited,,,,58229,,2100557880/053,,110000,Customer - Domestic,501000,Revenue DS - Domestic Trading,,501000,Revenue DS - Domestic Trading,0,1,S,,,100020154,26/05/2019,22/05/2019,0.672071759259259,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102087,CI1904101125,RV,1109,148,2019,2,24/05/2019,24/05/2019,"2,54,204.56 ",INR,254204.56,INR,0,38776.96,215427.6,0,0,307259,Tata Steel Limited,,,,58610,,4404497825/961,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020125,26/05/2019,24/05/2019,0.763148148148148,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102088,CI1904101126,RV,1109,149,2019,2,24/05/2019,24/05/2019,"1,25,936.20 ",INR,125936.2,INR,0,19210.6,106725.6,0,0,307259,Tata Steel Limited,,,,58619,,4404264655/961,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020125,26/05/2019,24/05/2019,0.764027777777778,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102047,CI1901100543,RV,1101,150,2019,2,24/05/2019,24/05/2019,"13,98,976.70 ",INR,1398976.7,INR,0,"2,13,403.22 ",1185573.48,0,0,318999,Tata Steel Limited,,,,102047,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,24/05/2019,0.592222222222222,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102193,CI1901100588,RV,1101,180,2019,2,27/05/2019,27/05/2019,"16,40,176.30 ",INR,1640176.3,INR,0,"2,50,196.40 ",1389979.9,0,0,318999,Tata Steel Limited,,,,102193,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,27/05/2019,0.612719907407407,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102405,SI1901100010,RV,1101,184,2019,2,30/05/2019,30/05/2019,"58,51,979.36 ",INR,5851979.36,INR,0,"8,92,674.82 ",4959304.54,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,1414,,3800008314/118,,110000,Customer - Domestic,501020,Revenue DS - Sale of Services Domestic,,501020,Revenue DS - Sale of Services Domestic,0,1,S,,,100022449,31/05/2019,30/05/2019,0.678275462962963,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102455,CI1901100664,RV,1108,185,2019,2,30/05/2019,30/05/2019,"26,96,043.92 ",INR,2696043.92,INR,0,"4,11,260.92 ",2284783,0,0,306263,Tata Steel limited ( CRC ),,,,58335,,2300051433/814,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100022320,31/05/2019,30/05/2019,0.878078703703704,0,0,,,1,
1000,Tata BlueScope Steel Ltd,102397,CI1901100648,RV,1101,186,2019,2,30/05/2019,30/05/2019,"9,85,557.71 ",INR,985557.71,INR,0,"1,50,339.28 ",835218.43,0,0,318999,Tata Steel Limited,,,,102397,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,30/05/2019,0.662268518518519,0,0,,,1,
