"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f7f59b73-9191-43c0-985b-dd7db21ec0ca,Metachain,"TPG Growth Fund VI,L.P._24PE50",67
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,c85e0804-624d-493d-9a01-1c0e56b82e8a,Metachain,ICG Senior Debt V,148
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0988d9ed-01b3-49c7-8141-4974ff2c3c2d",Metachain,"H.I.G. Middle Market LBO Fund IV, L.P.",70
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1d05cb46-9333-4712-8d24-016c34928089",Metachain,"Thoma Bravo Fund XVI, L.P._24PE50",15
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"02236b12-77bc-4746-9329-16d48e9b2179",Metachain,"Oaktree Real Estate Debt Fund IV, L.P.",73
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1b999d68-b747-4d49-bca2-97ea8dcfd24e",Metachain,"PIMCO Specialty Finance Income Fund Offshore Feeder, L.P.",61
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"77a941d0-a455-4331-87e1-2e9356adf9f0",QLDB,"H.I.G Advantage Buyout Fund II, L.P.",1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a862f8b6-c177-4102-a6db-0ab8b06666e5,QLDB,Providence Equity Partners IX L.P.,16
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,d7e4edd6-a105-440c-b6b0-7174790a09c0,Metachain,"WCAS XIV, L.P.",63
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"77a941d0-a455-4331-87e1-2e9356adf9f0",Metachain,"H.I.G Advantage Buyout Fund II, L.P.",1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,dea5cbca-371f-482e-a795-9ca3727a7a1f,Metachain,Blackrock European Direct Lending IV,58
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a9e2e4f8-7405-436a-b365-bfe3ef544ad1,Metachain,"K6 Private Investors, L.P.",7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,e1fbb8b8-ee3e-4f48-8812-87542a4a5657,Quorum,EQT Partners Fund X,177
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,a865b97a-8a21-43d5-9b5b-0d4582ce5a89,Metachain,AEA Fund VIII ,103
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"507eb91d-b169-476e-a4cf-208b09717c1c",QLDB,Arcmont-Direct Lending Fund IV (USD-L) SLP,9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"5e89c147-399d-4c52-9392-57ffd2569b58",QLDB,Providence Equity Partners IX-A S.C.SP.,18
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"94b9064e-5271-486f-970b-83c79d3987c4",QLDB,KKR Lending Partners Europe III (Euro) SCSp,7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f6a7f522-0b52-41ca-bd78-b61e006d55ae,Metachain,"American Industrial Partners Capital Fund VIII, L.P.",38
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"67a5270f-30a4-47ef-b4d1-8dc5c3683f78",Metachain,"Carlyle Credit Opportunities Fund III, L.P.",69
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b2a6ba59-8881-4fc7-859a-a9d958883055,QLDB,Pemberton Mid-Market Debt Fund IV SCSp SICAV-RAIF (EUR),7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"776d19a0-8263-42af-ad70-b08dff1c7a7e",QLDB,Fortress Lending IV,6
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"521142b5-a7ea-45b9-8052-1aed97142503",QLDB,LCatterton fund X ,55
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"337237f7-c5ac-4624-9239-e8d976d46554",QLDB,"TPG Asia VIII (A), L.P.",17
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"21fe86c0-4529-4548-90e6-dd754a4e0d12",Metachain,TowerBrook VI,2
